"year","avg_vol"
2002,0.000274118339664676
2003,5.52592172539176e-05
2004,0.000246249708471384
2005,0.00614612289616702
2006,0.00449436418042049
2007,0.000178710317615579
2008,0.000351029131039124
2009,0.00101447309218395
2010,0.00170346222880281
2011,0.000924097423585859
2012,0.00044482179788991
2013,0.000550853092569332
2014,0.000774520306381529
2015,0.00299894647497398
2016,0.00585320700453051
2017,0.00108087508394618
2018,0.000677604303510026
2019,0.000527010081445292
2020,0.000814239880944883
2002,8.1539855871564e-05
2003,0.0209080325758555
2004,0.0211086508554025
2005,0.0111156585318488
2006,0.000864785049570082
2007,5784988.5439596
2008,0.00264757475924016
2009,0.000112154299337807
2010,0.00016900321447037
2011,0.0127203256975978
2012,5.02471332569348e-05
2013,0.0013015099381815
2014,7.36049853498973e-05
2015,0.00279896320752692
2016,0.000631430506913055
2017,2.02267676355351e-05
2018,4.80059289104879e-06
2019,7.04120756926638e-07
2020,6.87363505677615e-07
2002,0.00029987014358212
2003,0.00284471897983878
2004,0.00369245851480681
2005,0.000547888362704845
2006,0.000593820958589709
2007,0.00136895270118051
2008,0.00668534257868257
2009,0.00317014654052165
2010,0.00552483007116703
2011,0.00303511525939217
2012,0.00160079228041825
2013,0.00104239885401879
2014,0.000760638812130996
2015,0.00380265599286087
2016,0.000888400577352854
2017,0.00159998611276987
2018,0.00189359907483144
2019,0.000477679419445663
2020,0.00121168267287909
2002,0.00119418049468782
2003,0.00100236687546868
2004,0.00121257901254137
2005,0.00133013186246262
2006,0.00141209079501816
2007,0.00125939539252261
2008,0.00162921102354165
2009,0.00120536779254632
2010,0.00117205519951751
2011,0.00134023309839783
2012,0.00134405163206382
2013,0.00140466863718633
2014,0.00131224082832967
2015,0.00141904389605277
2016,0.00140348887858267
2017,0.0012206590925257
2018,0.00132974074657554
2019,0.00135472038320496
2020,0.00158402549486988
